Instructor,Rating,Would Take Again,Difficulty,Tags
Robert Lie-Yuan Sah,2.3/5,14%,3.8,"Tough grader, Skip class? You won't pass., Lecture heavy, Tests are tough, Gives good feedback"
Matthew Dorton Daugherty,4/5,100%,4.1,"Amazing lectures, Inspirational, EXTRA CREDIT, Caring, Test heavy"
Amy L Non,4.3/5,N/A,3,"Tough grader, Participation matters, Skip class? You won't pass., Tests are tough, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Patricia A. Jennings,2.9/5,100%,2.7,"Get ready to read, Caring, Would take again, Lecture heavy, Tough grader"
Geoffrey Hoffman,2.4/5,100%,3.1,"Hilarious, Caring, Respected"
Jonathan David Cohen,2.9/5,34%,3.5,"Get ready to read, Tough grader, Participation matters, Graded by few things, Skip class? You won't pass."
Tina Hyland,5/5,100%,3.3,"Gives good feedback, Clear grading criteria, Accessible outside class, Amazing lectures, Caring"
Carlisle S Bascom Jr.,4.8/5,100%,3.2,"Clear grading criteria, Inspirational, Accessible outside class, Amazing lectures, Gives good feedback"
Erin M. Suzuki,4.5/5,94%,2.5,"Get ready to read, Beware of pop quizzes, Amazing lectures, Caring, Participation matters"
Gabriela Hernandez Caballero,4.5/5,100%,1.6,"Caring, EXTRA CREDIT, Amazing lectures, Get ready to read, Lots of homework"
Matthew Vitz,3.5/5,62%,2.9,"Lecture heavy, Get ready to read, Clear grading criteria, Caring, Inspirational"
Nathan Fletcher,4.1/5,100%,2.6,"Amazing lectures, Graded by few things, Respected, Lecture heavy, Inspirational"
Joseph D. Hankins,4.9/5,100%,2.6,"Amazing lectures, Caring, Inspirational, Get ready to read, Would take again"
Bennett Chow,3/5,49%,3,"Lots of homework, Graded by few things, Clear grading criteria, Get ready to read, Test heavy"
Tyagarajan Somasundaram,3.9/5,72%,3.8,"Get ready to read, Participation matters, Tough grader, Group projects, Amazing lectures"
Xiao Wang,4/5,100%,2.4,"Caring, Respected, Accessible outside class"
Matthew Joseph Irwin,1.6/5,34%,4.9,"Get ready to read, Participation matters, Group projects, Lecture heavy, Graded by few things"
Michael Trigilio,4.3/5,67%,2.2,"Participation matters, Skip class? You won't pass., Beware of pop quizzes, Hilarious, Lecture heavy"
Douglas E Smith,3/5,100%,3.1,"Clear grading criteria, Hilarious, Caring, Test heavy, Participation matters"
Mohammad Yousef Bahadori,3.1/5,34%,3.1,"Tough grader, Get ready to read, Lots of homework, Caring, Respected"
Megumi Naoi,4.4/5,100%,2.9,"Graded by few things, EXTRA CREDIT, Clear grading criteria, Respected, Tough grader"
Maria Teresa Candido,3.5/5,85%,3,"Caring, Test heavy, Accessible outside class, Respected, Graded by few things"
Olivia A Graeve,1.6/5,22%,4.2,"Skip class? You won't pass., Test heavy, EXTRA CREDIT, Lots of homework, Accessible outside class"
Barbara Lee Byers,3.8/5,40%,3,"Tough grader, Gives good feedback, Skip class? You won't pass., Group projects, Amazing lectures"
Gentry Patrick,3.1/5,58%,3.3,"Lecture heavy, Graded by few things, Test heavy, Clear grading criteria, Skip class? You won't pass."
Spencer William Congero,1.9/5,N/A,3.5,"Tests? Not many, Clear grading criteria, Would take again"
Gregoire Loren Phillips,4.9/5,N/A,1.6,None
Tom Erbe,4.8/5,0%,2.6,None
William M. Chandler,3.6/5,40%,2.8,"Graded by few things, Tough grader, Get ready to read, Caring, Lecture heavy"
Joseph P. Pecore,5/5,85%,2.8,"EXTRA CREDIT, Respected, Beware of pop quizzes, Clear grading criteria, Caring"
William Jadie Jones,5/5,100%,2,"Skip class? You won't pass., Clear grading criteria, Caring"
Shishir Agrawal,5/5,100%,3,"Accessible outside class, Gives good feedback, Group projects, Inspirational, Lots of homework"
Amy J Alexander,2.8/5,0%,2.5,None
Karin Marie Sandstrom,3.5/5,75%,3,"Get ready to read, Accessible outside class, Tough grader, Amazing lectures, Clear grading criteria"
Hua Wu,4.9/5,100%,2.4,"Get ready to read, EXTRA CREDIT, Graded by few things, Skip class? You won't pass., Amazing lectures"
Partho Ghosh,3.8/5,70%,3.4,"Tough grader, Test heavy, Respected, Participation matters, Skip class? You won't pass."
Michael Burg,4.4/5,97%,3,"Hilarious, Amazing lectures, Respected, Lecture heavy, Caring"
Cari Lynn,2/5,100%,3.3,"Clear grading criteria, Test heavy, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
P. Benson Shing,3.9/5,N/A,3.6,"Caring, Would take again"
Matthew Todd Fulkerson,4/5,100%,3,Accessible outside class
Frances E. Contreras,4.9/5,100%,1.9,"Caring, Clear grading criteria, Gives good feedback, EXTRA CREDIT, Respected"
Amy M Lerner,3.9/5,100%,2.4,"Amazing lectures, Gives good feedback, Inspirational, Caring, Accessible outside class"
Alex C.,4.4/5,92%,3.6,"Accessible outside class, Clear grading criteria, Caring, Amazing lectures, Lots of homework"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ji Young Park,5/5,100%,3.6,"Caring, EXTRA CREDIT, Amazing lectures, Accessible outside class, Clear grading criteria"
Alexis Akira Toda,1.8/5,12%,4.8,"Test heavy, Tough grader, Get ready to read, Lots of homework, Lecture heavy"
Prashant Bharadwaj,3.9/5,57%,3.8,"Get ready to read, Tough grader, Lecture heavy, Amazing lectures, Test heavy"
LaTisha Marie Hammond,3.4/5,67%,2.9,"Lecture heavy, Tough grader, Get ready to read, Amazing lectures, Graded by few things"
Ian Amihay Lerner,3.9/5,100%,2.4,"Amazing lectures, Gives good feedback, Inspirational, Caring, Accessible outside class"
Andrew Byun Kahng,3.2/5,100%,3.4,"Amazing lectures, Would take again, Gives good feedback, Lots of homework, Caring"
Truong Quang Nguyen,4.7/5,100%,2.6,"Amazing lectures, Inspirational, Caring"
Eric Andrew Rodriguez,2.2/5,26%,4,"Tough grader, Participation matters, Group projects, Skip class? You won't pass., Get ready to read"
Nuno Vasconcelos,3.8/5,73%,4.6,"Test heavy, Tough grader, Get ready to read, Lots of homework, Caring"
Jeffrey D.,3.3/5,39%,3.8,"Get ready to read, Lecture heavy, Skip class? You won't pass., Participation matters, Tough grader"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Dimitris Politis,3.1/5,56%,3.8,"Amazing lectures, Gives good feedback, Get ready to read, Group projects, Beware of pop quizzes"
Max Parra,4.4/5,34%,3.4,"Participation matters, Get ready to read, Clear grading criteria, Tough grader, EXTRA CREDIT"
Kyle Phillip Meyer,1.7/5,25%,4,"Lots of homework, Lecture heavy, Tough grader, Get ready to read, Skip class? You won't pass."
Heidi Ann,2.9/5,38%,4.6,"Test heavy, Tough grader, Skip class? You won't pass., Lecture heavy, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Rachel Diana Millstone,4.4/5,0%,1.6,Participation matters
Michael Joseph Lettieri,5/5,100%,3,"Hilarious, Lecture heavy, Graded by few things"
Ioana Dumitriu,4.5/5,100%,4,"Tough grader, Get ready to read, Participation matters, Gives good feedback, Respected"
Pinar Yoldas,3.4/5,72%,2.9,"Participation matters, Amazing lectures, Gives good feedback, Graded by few things, Tough grader"
Andrew Michael Cooper,3.1/5,44%,3.9,"Tough grader, Test heavy, Skip class? You won't pass., Lecture heavy, Amazing lectures"
Farrell Ackerman,3.8/5,80%,2.6,"Clear grading criteria, Lecture heavy, Get ready to read, Inspirational, Lots of homework"
Benjamin Smarr,3.9/5,N/A,3.8,None
Gabi Laske,4.8/5,100%,1.4,"EXTRA CREDIT, Beware of pop quizzes, Would take again, Caring, Clear grading criteria"
Steven Paul,4.6/5,100%,1.7,"Gives good feedback, Participation matters, Respected, Get ready to read, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Shaista Patel,4.9/5,100%,2,"Caring, Get ready to read, Respected, Accessible outside class, Participation matters"
David Benjamin Bernerslee,2.2/5,31%,3.1,"Participation matters, Lecture heavy, Group projects, EXTRA CREDIT, Caring"
Krista C Kshatriya,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Krista C,4.2/5,N/A,4,"Skip class? You won't pass., Would take again, Caring, Tough grader, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Anqi Liu,3.9/5,100%,3.1,"Participation matters, Get ready to read, Lots of homework, Tough grader, Group projects"
Lynn M. Russell,2/5,100%,3.3,"Clear grading criteria, Test heavy, Graded by few things"
Geoffrey W Cook,5/5,100%,2,"Caring, Respected, Amazing lectures, Inspirational, Hilarious"
Yingjin Zhang,3/5,29%,4,"Tough grader, Graded by few things, Get ready to read, Respected, Clear grading criteria"
Kelema Lee Moses,4.4/5,100%,3.3,"Tough grader, Get ready to read, EXTRA CREDIT, Gives good feedback, Lots of homework"
Farhat N. Beg,2.9/5,N/A,2.8,"Tough grader, Group projects, Clear grading criteria, Gives good feedback"
Massimiliano Di,2.2/5,N/A,4,Group projects
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Kevin Allen Schwenkler,N/A,N/A,N/A,
Emma Kristen Farley,4.4/5,80%,3,"Clear grading criteria, Lots of homework, Caring, Participation matters, Skip class? You won't pass."
Geoffrey M. Voelker,4.8/5,75%,3.6,"Participation matters, Respected, Tough grader, Amazing lectures, Gives good feedback"
Richard Mark Yetwin,2.7/5,100%,3.3,"Graded by few things, Lecture heavy, Amazing lectures, Clear grading criteria, Caring"
Yuan Chai,1.8/5,100%,4.2,"Tough grader, Test heavy, Graded by few things, Clear grading criteria, Lots of homework"
Cindy Juyoung Ok,4/5,62%,4.5,"Get ready to read, Tough grader, Amazing lectures, Lots of homework, Participation matters"
Dave Kenneth Adams,3.8/5,54%,2.5,"Lots of homework, Skip class? You won't pass., Caring, Accessible outside class, Lecture heavy"
Kevin James Ostrowski,4.5/5,N/A,1.5,None
Caroline Sarah Jack,4/5,100%,3.4,"Get ready to read, Participation matters, Amazing lectures, Gives good feedback, Inspirational"
Maureen Catherine Feeley,4.8/5,90%,3,"Participation matters, Caring, Clear grading criteria, Accessible outside class, Get ready to read"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jinhye Bae,N/A,N/A,N/A,
Tai-Hsuan Chung,N/A,N/A,N/A,
Lara Soowal,3.1/5,34%,4,"Tough grader, Beware of pop quizzes, Skip class? You won't pass., Lots of homework, Get ready to read"
Kathryn Vogel,3/5,0%,4,Graded by few things
Amir Mohammadi,3.9/5,72%,3.5,"Skip class? You won't pass., Tough grader, Clear grading criteria, Respected, Lecture heavy"
Carsten Zimmermann,3.8/5,100%,3.1,"Group projects, Tough grader, Get ready to read, Inspirational, Clear grading criteria"
John Dietrich Eggers,5/5,100%,2,"Amazing lectures, Hilarious, Respected"
Erik Anthony Romero,3.8/5,67%,4.4,"Test heavy, Tough grader, Skip class? You won't pass., EXTRA CREDIT, Gives good feedback"
Mattheus E Stephens,4.1/5,75%,3.4,"Get ready to read, Graded by few things, Amazing lectures, Lecture heavy, Participation matters"
Michelle Yuan,5/5,100%,3,"Caring, Lecture heavy, Accessible outside class"
Max Benjamin Schaffer,3.5/5,25%,3,"Tough grader, Get ready to read, Skip class? You won't pass., Amazing lectures, Inspirational"
Lisa Porter,5/5,N/A,4,"Skip class? You won't pass., Inspirational, Hilarious"
Alexander B Stewart,4/5,76%,3,"Get ready to read, Participation matters, Respected, Skip class? You won't pass., Amazing lectures"
Zachary Keith,5/5,100%,3.4,"Gives good feedback, Hilarious, Get ready to read, Respected, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Mira Balberg,5/5,97%,3,"Amazing lectures, Caring, Inspirational, Respected, Get ready to read"
Burritt Demill,4.8/5,100%,2.5,"Amazing lectures, Inspirational, Tough grader, Group projects, Clear grading criteria"
Hyunsun Alicia Kim,N/A,N/A,N/A,
Heather Marie Harper,4.8/5,100%,2,"Participation matters, Gives good feedback, Caring, Clear grading criteria, Tests? Not many"
Ester Jihae Kwon,5/5,100%,4,"Amazing lectures, Gives good feedback, Inspirational"
Jeffrey Ryan,3.3/5,39%,3.1,"Lots of homework, Accessible outside class, Get ready to read, Participation matters, Respected"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Eduardo Caro Melendez,4.4/5,82%,3.1,"Gives good feedback, Inspirational, Caring, Accessible outside class, Clear grading criteria"
Nandagopal Ramachandran,3/5,34%,3.2,"Graded by few things, Skip class? You won't pass., Respected, Lecture heavy, Tough grader"
Jon Merrill Aycock,5/5,100%,3,"Caring, Accessible outside class, Amazing lectures, Clear grading criteria, Lots of homework"
Susan M Narucki,3.6/5,80%,2.6,"Participation matters, Gives good feedback, Caring, Skip class? You won't pass., Lecture heavy"
Lydia Winsor Brindamour,4.9/5,92%,2.3,"Caring, Accessible outside class, Amazing lectures, Gives good feedback, Lecture heavy"
Elizabeth Ashley Gumm,2.7/5,60%,2.9,"Participation matters, Group projects, Skip class? You won't pass., EXTRA CREDIT, Lots of homework"
Diptojit Datta,N/A,N/A,N/A,
Erik Norman Carlson,4.6/5,100%,1.9,"Caring, Participation matters, Amazing lectures, Clear grading criteria"
Brian Leigh,4/5,84%,4,"Tough grader, Hilarious, Amazing lectures, Caring, Lots of homework"
Elisa G Geiss,3/5,50%,3.3,"Lots of homework, Get ready to read, Tough grader, Participation matters, Clear grading criteria"
Sebastian Saiegh,3.1/5,100%,2.8,"Amazing lectures, Tests? Not many, Graded by few things, Tough grader, Get ready to read"
Abigail Leslie Andrews,4/5,100%,3.5,"EXTRA CREDIT, Group projects, Clear grading criteria"
Vishal Karna,2.1/5,0%,4.3,"Tough grader, Lots of homework, Get ready to read"
Mehran Tehrani,3/5,50%,3,"Amazing lectures, Caring, Respected"
Jeremy K Klosterman,2.3/5,45%,4.5,"Tough grader, Lots of homework, Test heavy, Lecture heavy, Group projects"
Steven Sam,1.5/5,5%,4.5,"Tough grader, Test heavy, Graded by few things, Lecture heavy, Skip class? You won't pass."
Harold G Buchanan,3.6/5,79%,3,"Participation matters, EXTRA CREDIT, Tough grader, Amazing lectures, Respected"
Celeste Georgianna Morales,3.4/5,55%,3.6,"Tough grader, Gives good feedback, Get ready to read, Participation matters, Amazing lectures"
Diana Sussman,4.3/5,100%,2.6,"Gives good feedback, Respected, Amazing lectures, Participation matters, Inspirational"
Nancy Guy,4.1/5,80%,2.8,"Inspirational, Skip class? You won't pass., Amazing lectures, Would take again, EXTRA CREDIT"
Eva Belmont,4.1/5,100%,4.1,"Gives good feedback, Tough grader, Amazing lectures, Clear grading criteria, Accessible outside class"
Bruce Christopher Wheeler,1.5/5,0%,4,Test heavy
Fabian Pallares,4.8/5,100%,2.4,"Clear grading criteria, Amazing lectures, Would take again, Gives good feedback, Respected"
Jesse Vincent Jokerst,3.5/5,75%,3.4,"Lecture heavy, Lots of homework, Hilarious, Test heavy, Tough grader"
Enfu Hui,4.5/5,84%,4.3,"Lecture heavy, Clear grading criteria, Lots of homework, Test heavy, Skip class? You won't pass."
David A. Barner,2.8/5,84%,3.4,"Tough grader, Lecture heavy, Test heavy, Clear grading criteria, Amazing lectures"
Danielle Adobi Dean,4.5/5,91%,1.9,"Get ready to read, Beware of pop quizzes, Respected, Inspirational, Caring"
Ian Eisenman,N/A,N/A,N/A,
Jan Kleissl,4.6/5,100%,3.4,"Inspirational, Caring, Respected"
Charles G. Goldberg,5/5,100%,3.3,"Gives good feedback, Accessible outside class, Respected, Caring, Amazing lectures"
Jose Enriquez,2.4/5,100%,4.4,"Inspirational, Respected, Accessible outside class"
Pamela C.,3.8/5,100%,2.6,"Participation matters, Tough grader, Get ready to read, Gives good feedback, Lots of homework"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Haleema Welji,4.6/5,60%,3.2,"Tough grader, Participation matters, Gives good feedback, Respected, Accessible outside class"
Brent Y Hamaoka,2.5/5,20%,3.6,"Tough grader, Lots of homework, Lecture heavy, Would take again, Test heavy"
Patrick J Fitzsimmons,3.5/5,0%,3,"Get ready to read, Lots of homework"
Jamie Schiffer,4.4/5,100%,1.6,"Get ready to read, Amazing lectures, Would take again"
Judith A.,5/5,100%,3.5,"Clear grading criteria, Accessible outside class, Get ready to read, Gives good feedback, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ming Zhao,3.6/5,55%,1.5,"Would take again, Lots of homework, Tough grader, Get ready to read, Skip class? You won't pass."
Timothy Francis Brady,5/5,91%,3.8,"Amazing lectures, Hilarious, Caring, Clear grading criteria, Graded by few things"
John Eldon,3/5,50%,4,"Graded by few things, Caring, Group projects, Lots of homework, Hilarious"
Karthik Muralidharan,4/5,50%,3.9,"Lecture heavy, Test heavy, Amazing lectures, Inspirational, Caring"
Chung Kuan Cheng,2.6/5,70%,3.5,"Clear grading criteria, Lots of homework, Caring, Get ready to read, Respected"
Gary E,3.1/5,45%,3.8,"Lots of homework, Tough grader, Skip class? You won't pass., Lecture heavy, Respected"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Bruce Blakley,3.3/5,86%,4,"Get ready to read, EXTRA CREDIT, Respected, Test heavy, Graded by few things"
Seth Donal Hannah,4.8/5,88%,2,"Amazing lectures, Gives good feedback, Caring, Lecture heavy, Accessible outside class"
Benjamin Bergen,4.1/5,100%,2.5,"Participation matters, Amazing lectures, Hilarious, Get ready to read, EXTRA CREDIT"
Meredith Helen Crane,5/5,100%,2.4,"Clear grading criteria, Amazing lectures, Caring, Respected, Lecture heavy"
M. Brian Maple,4.9/5,100%,2.4,"Inspirational, Caring, Respected"
Nir Shafir,3.1/5,100%,3.1,"Tough grader, Participation matters, Lots of homework, Get ready to read, Accessible outside class"
Stefanie Cathrine Marie Holden,2.5/5,0%,4,Tough grader
Neal Krishna Devaraj,3.4/5,0%,3.4,"Participation matters, Group projects, Amazing lectures, Inspirational, Caring"
Maya Alysia Vanderschuit,5/5,100%,3,"Inspirational, Caring, Clear grading criteria"
Nassem Navab-Gojrati,N/A,N/A,N/A,
Nathanael A,4.8/5,100%,2,"Caring, Gives good feedback, Respected, Accessible outside class, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Melissa Famulari,3.5/5,71%,4.3,"Tough grader, Skip class? You won't pass., Test heavy, Amazing lectures, Accessible outside class"
Denis Shishkin,3.4/5,67%,4.3,"Caring, Graded by few things, Tough grader, Get ready to read, EXTRA CREDIT"
Shahrokh D Yadegari,4.3/5,60%,3,"Amazing lectures, Respected, Would take again, Gives good feedback, Inspirational"
Stanley A. Chodorow,3.4/5,34%,3.6,"Get ready to read, Lecture heavy, Tough grader, Caring, So many papers"
Sinem Beyhan,3.8/5,100%,3,"Lecture heavy, EXTRA CREDIT, Hilarious, Caring, Test heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
David Hall Arnold,3.1/5,60%,4,"Tough grader, Lots of homework, Skip class? You won't pass., Tests are tough, Gives good feedback"
Emmanuel Vavalis,2.5/5,22%,3.8,"Get ready to read, Graded by few things, Tough grader, Test heavy, Accessible outside class"
F Chua,N/A,N/A,N/A,
Mark G Maffett,5/5,100%,4,"Group projects, Lots of homework, Test heavy"
Nancy Stark Lee,3.6/5,62%,4.6,"Lots of homework, Tough grader, Skip class? You won't pass., Gives good feedback, Respected"
